case,dataset,method,status,gt,est,vicon_status,evo_status,vicon_offset_est_s,evo_offset_s,vicon_ate_rmse_raw_m,vicon_ate_rmse_step3_m,evo_ape_raw_rmse_m,evo_ape_se3_rmse_m,vicon_improve_pct,evo_improve_pct,vicon_xcorr_peak,vicon_xcorr_psr,vicon_omega_improve_pct,vicon_matches_equivalent,evo_matches,vicon_run_dir,vicon_stdout_log,vicon_stderr_log,evo_sweep_evals,error
euroc_mav_V2_02_medium_svo_stereo,euroc_mav,svo_stereo,ok,GT/euroc_mav/V2_02_medium.txt,benchmark/euroc_mav/pose/svo_stereo/V2_02_medium/svo_poses.txt,ok,ok,-1.6280000000000001,0.0,1.687224047985202,0.1569281857525806,1.687138303212893,0.15845418049045215,90.69903099467534,90.60810959068341,0.9599718041413398,11.943072497862817,85.33235350579317,18216.0,2277.0,/home/yifu/vicon_ws/outputs/run_20260412_164547,/home/yifu/vicon_ws/outputs/alignanything_harness/run_20260412_164321/logs/vicon/euroc_mav_V2_02_medium_svo_stereo.stdout.log,/home/yifu/vicon_ws/outputs/alignanything_harness/run_20260412_164321/logs/vicon/euroc_mav_V2_02_medium_svo_stereo.stderr.log,102,
euroc_mav_V2_03_difficult_svo_stereo,euroc_mav,svo_stereo,ok,GT/euroc_mav/V2_03_difficult.txt,benchmark/euroc_mav/pose/svo_stereo/V2_03_difficult/svo_poses.txt,ok,ok,-1.666,0.04999999999999982,1.6665737624167987,0.13423163236935032,1.6613348816692222,0.14046316878327467,91.94565308794897,91.54516224669524,0.9452971769666189,8.338091708847475,-7.067206860465751,14856.0,1856.0,/home/yifu/vicon_ws/outputs/run_20260412_164554,/home/yifu/vicon_ws/outputs/alignanything_harness/run_20260412_164321/logs/vicon/euroc_mav_V2_03_difficult_svo_stereo.stdout.log,/home/yifu/vicon_ws/outputs/alignanything_harness/run_20260412_164321/logs/vicon/euroc_mav_V2_03_difficult_svo_stereo.stderr.log,102,
grand_tour_2024-10-01-11-29-55_rovio,grand_tour,rovio,ok,GT/grand_tour/group1/2024-10-01-11-29-55.txt,benchmark/grand_tour/pose/rovio/2024-10-01-11-29-55/rovio_poses.txt,ok,ok,-0.056,20.0,94.81857892933841,7.571952110855114,94.31959921422916,12.375328711184268,92.01427378858013,86.87936673365532,0.8978515709443512,10.98017008284032,16.29928563449732,27760.0,3280.0,/home/yifu/vicon_ws/outputs/run_20260412_164600,/home/yifu/vicon_ws/outputs/alignanything_harness/run_20260412_164321/logs/vicon/grand_tour_2024-10-01-11-29-55_rovio.stdout.log,/home/yifu/vicon_ws/outputs/alignanything_harness/run_20260412_164321/logs/vicon/grand_tour_2024-10-01-11-29-55_rovio.stderr.log,92,
grand_tour_2024-10-01-12-00-49_rovio,grand_tour,rovio,ok,GT/grand_tour/group1/2024-10-01-12-00-49.txt,benchmark/grand_tour/pose/rovio/2024-10-01-12-00-49/rovio_poses.txt,ok,ok,-0.043000000000000003,10.350000000000005,15.83642674273786,6.5397301799818806,15.252035587612209,7.399230406378919,58.70450900180874,51.48693193196369,0.904471183027766,14.302236484082139,10.655382385745195,38088.0,4665.0,/home/yifu/vicon_ws/outputs/run_20260412_164626,/home/yifu/vicon_ws/outputs/alignanything_harness/run_20260412_164321/logs/vicon/grand_tour_2024-10-01-12-00-49_rovio.stdout.log,/home/yifu/vicon_ws/outputs/alignanything_harness/run_20260412_164321/logs/vicon/grand_tour_2024-10-01-12-00-49_rovio.stderr.log,102,
grand_tour_2024-11-02-17-10-25_rovio,grand_tour,rovio,ok,GT/grand_tour/group1/2024-11-02-17-10-25.txt,benchmark/grand_tour/pose/rovio/2024-11-02-17-10-25/rovio_poses.txt,ok,ok,65.74,0.4,13.458272531174462,9.277144210839761,8.135541044737144,1.7566889252681683,31.067347690049456,78.40722681369361,0.2291646420265911,2.938589675963272,-6706.030794514655,14320.0,1789.0,/home/yifu/vicon_ws/outputs/run_20260412_164716,/home/yifu/vicon_ws/outputs/alignanything_harness/run_20260412_164321/logs/vicon/grand_tour_2024-11-02-17-10-25_rovio.stdout.log,/home/yifu/vicon_ws/outputs/alignanything_harness/run_20260412_164321/logs/vicon/grand_tour_2024-11-02-17-10-25_rovio.stderr.log,102,
grand_tour_2024-11-02-17-43-10_rovio,grand_tour,rovio,ok,GT/grand_tour/group1/2024-11-02-17-43-10.txt,benchmark/grand_tour/pose/rovio/2024-11-02-17-43-10/rovio_poses.txt,ok,ok,-0.07200000000000001,-1.8500000000000023,11.033025458737683,2.820970020637655,11.04401575325962,2.9283373894781826,74.43158242325714,73.48484957915218,0.9860057144444712,9.112188440390693,33.297613520164354,18136.0,2249.0,/home/yifu/vicon_ws/outputs/run_20260412_164730,/home/yifu/vicon_ws/outputs/alignanything_harness/run_20260412_164321/logs/vicon/grand_tour_2024-11-02-17-43-10_rovio.stdout.log,/home/yifu/vicon_ws/outputs/alignanything_harness/run_20260412_164321/logs/vicon/grand_tour_2024-11-02-17-43-10_rovio.stderr.log,102,
grand_tour_2024-11-02-21-12-51_rovio,grand_tour,rovio,ok,GT/grand_tour/group1/2024-11-02-21-12-51.txt,benchmark/grand_tour/pose/rovio/2024-11-02-21-12-51/rovio_poses.txt,ok,ok,-0.088,19.950000000000006,37.470056104071034,11.8177080085836,37.232193661762075,12.884609124336434,68.46092790530858,65.39390281059441,0.9163917967328825,12.304319166016782,20.513630551424193,21176.0,2460.0,/home/yifu/vicon_ws/outputs/run_20260412_164744,/home/yifu/vicon_ws/outputs/alignanything_harness/run_20260412_164321/logs/vicon/grand_tour_2024-11-02-21-12-51_rovio.stdout.log,/home/yifu/vicon_ws/outputs/alignanything_harness/run_20260412_164321/logs/vicon/grand_tour_2024-11-02-21-12-51_rovio.stderr.log,92,
grand_tour_2024-11-03-07-52-45_rovio,grand_tour,rovio,ok,GT/grand_tour/group2/2024-11-03-07-52-45.txt,benchmark/grand_tour/pose/rovio/2024-11-03-07-52-45/rovio_poses.txt,ok,ok,-0.001,0.0,25.409616008510223,2.9720139982335745,25.382761591788956,3.0290988986673275,88.30358555108009,88.06631466117506,0.8657431290107626,6.256127547850213,0.004911493210082676,14781.0,1848.0,/home/yifu/vicon_ws/outputs/run_20260412_164800,/home/yifu/vicon_ws/outputs/alignanything_harness/run_20260412_164321/logs/vicon/grand_tour_2024-11-03-07-52-45_rovio.stdout.log,/home/yifu/vicon_ws/outputs/alignanything_harness/run_20260412_164321/logs/vicon/grand_tour_2024-11-03-07-52-45_rovio.stderr.log,102,
grand_tour_2024-11-03-08-17-23_rovio,grand_tour,rovio,ok,GT/grand_tour/group2/2024-11-03-08-17-23.txt,benchmark/grand_tour/pose/rovio/2024-11-03-08-17-23/rovio_poses.txt,ok,ok,-0.09,4.299999999999997,48.63683567551872,33.472891704537105,48.77882905002796,33.56423619032608,31.177899960737065,31.19097599513379,0.8823436681587973,14.588532311534879,29.336581532474664,18528.0,2316.0,/home/yifu/vicon_ws/outputs/run_20260412_164810,/home/yifu/vicon_ws/outputs/alignanything_harness/run_20260412_164321/logs/vicon/grand_tour_2024-11-03-08-17-23_rovio.stdout.log,/home/yifu/vicon_ws/outputs/alignanything_harness/run_20260412_164321/logs/vicon/grand_tour_2024-11-03-08-17-23_rovio.stderr.log,102,
grand_tour_2024-11-03-13-59-54_rovio,grand_tour,rovio,ok,GT/grand_tour/group2/2024-11-03-13-59-54.txt,benchmark/grand_tour/pose/rovio/2024-11-03-13-59-54/rovio_poses.txt,ok,ok,-0.068,-9.149999999999995,14.75164699927474,6.954959315191493,13.963581586359624,8.055278153305732,52.85299793620361,42.31223484113143,0.8962064503950524,12.00580459811773,22.82459216294489,28912.0,3523.0,/home/yifu/vicon_ws/outputs/run_20260412_164824,/home/yifu/vicon_ws/outputs/alignanything_harness/run_20260412_164321/logs/vicon/grand_tour_2024-11-03-13-59-54_rovio.stdout.log,/home/yifu/vicon_ws/outputs/alignanything_harness/run_20260412_164321/logs/vicon/grand_tour_2024-11-03-13-59-54_rovio.stderr.log,102,
